"</div>"fff""﻿Item,Title,Some name,Height,Width,Something,Column,Territory,Use,Other
1,"Eldon Base for stackable storage shelf, platinum",Steve,3,-213.25,38.94,35,Nunavut,Storage & Organization,0.8
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Joe,293,457.81,208.16,68.02,Nunavut,Appliances,0.58
3,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Fred,293,46.71,8.69,2.99,Nunavut,Binders and Binder Accessories,0.39
4,R380,Carl,483,1198.97,195.99,3.99,Nunavut,Telephones and Communication,0.58
5,Holmes HEPA Air Purifier,Mike,515,30.94,21.78,5.94,Nunavut,Appliances,0.5
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,bill,515,4.43,6.64,4.95,Nunavut,Office Furnishings,0.37
7,"Angle-D Binders with Locking Rings, Label Holders",Joe,613,-54.04,7.3,7.72,Nunavut,Binders and Binder Accessories,0.38
8,"SAFCO Mobile Desk Side File, Wire Frame",Jeff,613,127.7,42.76,6.22,Nunavut,Storage & Organization,
9,"SAFCO Commercial Wire Shelving, Black",Debbie,643,-695.26,138.14,35,Nunavut,Storage & Organization,
10,Xerox 198,Julie,678,-226.36,4.98,8.33,Nunavut,Paper,0.38
